Trial,alpha_14,alpha_15,ASR,NGR,Score
0,0.33456313756123446,0.5182448701349119,0.76,0.0,0.76
1,0.8808359850595304,0.2544147239086729,0.97,0.02,0.95
2,0.39083309664768373,0.34113736072329104,0.55,0.0,0.55
3,0.9642611256697768,0.9613080761366622,0.97,0.52,0.44999999999999996
4,0.06933847735972332,0.45528371241147425,0.09,0.0,0.09
5,0.2914575826395327,0.7451032202756684,0.92,0.0,0.92
6,0.5486612851714142,0.12071205937801743,0.42,0.0,0.42
7,0.2580199858644352,0.5870532282216635,0.74,0.0,0.74
8,0.37987127178325986,0.3174526710784844,0.5,0.0,0.5
9,0.7574978759397387,0.06456950106492132,0.7,0.0,0.7
10,0.9604169728872005,0.21211179572914643,0.97,0.05,0.9199999999999999
11,0.6264452539324676,0.7581781595033612,0.97,0.1,0.87
12,0.09001775089977881,0.7092940082648889,0.65,0.0,0.65
13,0.7247272969116241,0.9722660749395474,0.96,0.34,0.6199999999999999
14,0.21651986947287322,0.7946246155777513,0.86,0.01,0.85
15,0.8333171672891936,0.6228326278543244,0.97,0.17,0.7999999999999999
16,0.48501447511421475,0.406654140124596,0.79,0.0,0.79
17,0.1866545203720903,0.18864762209437347,0.06,0.0,0.06
18,0.5360622313470905,0.8626942013610203,0.95,0.08,0.87
19,0.8710243910019904,0.2724077147989608,0.97,0.03,0.94
20,0.8410721323775899,0.012709827628880399,0.77,0.0,0.77
21,0.8614550704333545,0.26987388951266256,0.98,0.03,0.95
22,0.868744961247804,0.2727915155152407,0.97,0.03,0.94
23,0.7194605741139066,0.17942108791224026,0.84,0.0,0.84
24,0.9189716586399613,0.3689640739914871,0.97,0.12,0.85
25,0.749126861188509,0.2466758051956892,0.94,0.03,0.9099999999999999
26,0.6561325314886174,0.09897957000928173,0.66,0.0,0.66
27,0.8896236378617777,0.45723665481337306,0.95,0.11,0.84
28,0.824274468247388,0.29194760795582625,0.96,0.03,0.9299999999999999
29,0.9792322603430731,0.5430248920894812,0.98,0.19,0.79
